Date,AAPL,AMD,BAC,BRCD,CHK,CMCSA,CSCO,F,FHN,GE,INTC,JPM,MSFT,MU,RAD,SIRI,T,TEVA,VALE,VZ,WFC,WFT
2007-01-03,10.731588,19.52,43.728294,7.671564,23.549442000000003,11.561278,22.910717,5.9180470000000005,32.916046,25.740261,14.491026000000002,36.934959,22.965631,14.03,5.5,3.634414,19.626463,24.707601999999998,9.792166,20.572556,26.684071000000003,19.334999
2007-01-04,10.969785,19.790001,44.007069,7.624498,23.45636,11.66697,23.513851000000003,6.067771,32.742508,25.591133,15.074941,37.027153000000006,22.927172,13.79,5.49,3.663567,19.373762,25.007942,9.673246,20.686783,26.72887,18.459999
2007-01-05,10.891665,19.709999,43.654509999999995,7.869235000000001,23.650986,11.531464999999999,23.522114000000002,6.004728,32.135151,25.462328,15.025097,36.719809999999995,22.796421,13.58,5.57,3.6927199999999996,19.070515,25.458469,9.347067,20.333206,26.57954,18.93
2007-01-08,10.945451,19.469998999999998,43.826691,8.255167,23.676371,11.509787,23.654301,6.091411,31.882728999999998,25.45554,14.961008999999999,36.842743,23.019470000000002,13.74,5.75,3.6538489999999997,19.186853,25.988032999999998,9.673246,20.242476999999997,26.504884999999998,18.879998999999998
2007-01-09,11.854692,19.65,43.867683,8.142213,23.608673,11.582958,23.522114000000002,6.138693,32.072041,25.45554,14.975252,36.689071999999996,23.042538,13.67,5.71,3.605261,19.26063,25.940607,9.391237,20.324963,26.572084000000004,19.0
2007-01-10,12.422006,20.01,43.933292,8.038669,23.346355,11.62903,23.695618,6.091411,32.064152,25.462328,15.324173000000002,36.958012,22.811804000000002,14.07,5.72,3.867638,19.311699,25.995935,9.642667,20.209476000000002,26.489958,18.834999
2007-01-11,12.268334,20.18,43.670906,8.179864,23.10096,11.639868,23.703876,6.122933,32.056278000000006,25.706367,15.609010000000001,37.11937,23.611681,13.88,5.92,3.7898970000000003,19.572744,25.790429999999997,9.805757,20.407446,26.534758,18.635
2007-01-12,12.11722,18.26,43.769287,8.311646000000001,23.735603,11.94882,23.893909,6.217494,32.008922999999996,25.686035,15.758553,36.873486,24.003922,14.23,6.1,3.984251,19.708944,25.869478,10.091165,20.528433,26.512356,19.120001000000002
2007-01-16,12.434811999999999,18.129998999999998,43.818489,8.273992,23.63406,12.051805,23.166845000000002,6.256896,31.717090999999996,25.835176,15.8796,37.180836,23.965466,13.92,6.09,4.032839,19.652195000000003,26.003838000000002,9.972242999999999,20.434944,27.049915000000002,19.105
2007-01-17,12.15948,18.200001,43.7201,8.104558,23.913301,12.130398,22.291067,6.335698000000001,31.496230999999998,25.747045999999997,14.982370999999999,37.211571,23.919327,13.68,6.08,3.7510260000000004,19.572744,25.988032999999998,10.050392,20.280967999999998,27.079782,19.24
2007-01-18,11.406476,17.92,43.695499,7.850409,23.811764,12.222542,21.853172,6.446021,31.598771999999997,25.760609,14.704653,36.996429,23.842415,13.25,6.14,3.935663,19.873511999999998,26.817942,10.009618,20.66041,27.027533000000002,18.875
2007-01-19,11.333480999999999,17.73,43.941483000000005,7.991604,24.50563,12.089746,22.059729,6.540584,31.575102,25.048798,14.82571,37.465121999999994,23.927021,13.27,5.83,3.848203,19.901884,27.007633000000002,10.233868,20.484442,26.908053999999996,19.24
2007-01-22,11.114495,17.530001000000002,43.990673,7.8409949999999995,24.480247,12.138527,21.919276999999997,6.627264,31.653984,24.913218,14.804354,38.156634999999994,23.627062,13.07,5.82,3.741308,20.015392000000002,27.418638,10.403754,20.484442,26.691549,19.57
2007-01-23,10.974908000000001,17.51,43.7201,8.076323,25.275667000000002,12.068064999999999,21.514435,6.540584,31.866957,24.777624,14.633444,38.28727,23.64245,12.93,5.96,3.673285,20.066461999999998,27.632036,11.147849,20.616421,26.885654,20.165001
2007-01-24,11.102969,16.030001000000002,43.621708,8.170449000000001,25.36874,12.195439,22.216703,6.461780999999999,31.937952000000003,24.838646,14.839955999999999,38.694492,23.911633,13.23,6.05,3.644132,20.787176000000002,27.450249,11.368698,20.935371,27.296303,20.200001
2007-01-25,11.045341,16.049999,42.965740000000004,7.878649,24.564867,11.786217,21.663149,6.477543,31.748644,24.635275,14.669048000000002,38.57925,23.419407,13.09,5.99,3.6246959999999997,20.877972,27.189419,11.127463,20.621918,26.937928999999997,19.42
2007-01-26,10.933926,16.219998999999998,42.670551,7.812757,24.539488000000002,11.734724,21.770554999999998,6.635146000000001,31.874846,24.452234,14.619207000000001,38.187378,23.534775,13.2,5.92,3.634414,20.656651999999998,27.355403999999997,11.212405,20.803392000000002,26.900596999999998,19.184998999999998
2007-01-29,11.005641,15.95,42.194988,7.803346,24.277163,11.878357000000001,21.654885999999998,6.595746000000001,31.732874,24.53359,14.875558999999999,38.010653999999995,23.480936,13.03,6.05,3.595543,20.719072,27.473957000000002,11.025530999999999,20.913376,26.840861999999998,18.870001000000002
2007-01-30,10.955698,15.79,42.736149,8.019845,24.886423,11.843125,21.687931,6.461780999999999,34.64349,24.425123000000003,14.904039000000001,38.556187,23.442476,12.99,6.03,3.605261,21.048223,27.473957000000002,11.079895,21.215832000000002,26.803539,20.1
2007-01-31,10.978748,15.55,43.113331,8.085732,25.05566,12.019288000000001,21.993635,6.406619999999999,34.391075,24.438681,14.925404,39.132453999999996,23.734739,12.95,6.16,3.5858260000000004,21.354664,27.742690999999997,11.528391000000001,21.182831,27.029284000000004,20.190001000000002
