Date,A,AFB,AVB,BANC,BFK,BLL,BT,CIR,CNI,DEI,E,EIX,GME,HQH,KO,LEN,MMM,MSI,MYJ,NOM,OLP,PBT,PHI,PPR,PWR,REX,SNP,SSW,SWK,TLRD,VALE,WRE,ZBH
2007-01-03,23.154404,7.842567999999999,86.078484,18.502638,8.607781,9.950365,19.402483,35.390404,17.772152,19.386206,35.153645000000004,33.008839,21.153694,6.106606,17.446012,44.488129,58.92676899999999,70.15471600000001,8.079134,10.03306,10.476306,7.309138000000001,24.347897,3.4317019999999996,19.16,18.02,46.392666,10.73201,38.838814,30.550860999999998,9.792166,23.050859,73.164604
2007-01-04,23.228655,7.811833,88.057457,18.502638,8.666046000000001,9.948114,19.666725,35.50555,17.432762,19.05196,34.537189,32.616734,21.350203,6.162392,17.453201,44.013634,58.693335999999995,70.086525,8.036557,10.03306,10.577938,7.044517,24.019823000000002,3.4317019999999996,19.200001,18.01,47.118179,10.754436,39.083584,31.315819,9.673246,23.113716,74.796799
2007-01-05,23.012638,7.801587,87.054588,18.502638,8.675757,9.903005,19.455963,33.797459,17.296188,18.674118,34.300095,31.934198,21.381031,6.1400760000000005,17.331097,43.635791999999995,58.294281000000005,64.595551,8.036557,10.021258,10.582006,6.985198,23.598011,3.4459989999999996,18.799999,18.0,46.469299,10.606435000000001,38.930599,31.260031,9.347067,22.605162,74.749359
2007-01-08,22.931632999999998,7.801587,88.117622,18.677574,8.666046000000001,9.941344,19.50629,34.478767,17.610737,18.499725,34.115685,31.759937,20.999565,6.158671,17.442423,42.809841,58.422256000000004,63.435986,8.052526,10.021258,10.516963,7.099260000000001,23.762047,3.474596,19.030001000000002,17.76,47.123295,10.462922,38.785286,31.148498999999997,9.673246,22.485167,74.265404
2007-01-09,22.958633,7.8476919999999994,86.49969499999999,18.536282999999997,8.724302,9.968405,19.723345000000002,34.689877,17.59832,18.339874,33.694179999999996,31.701851,21.712393,6.162392,17.456791,42.862559999999995,58.490025,62.276408999999994,8.047198,9.968175,10.212064,7.049073,23.176199,3.4793629999999998,19.17,17.67,45.810207,10.749949,39.488937,31.897514,9.391237,22.845156,74.312828
2007-01-10,22.749365,7.778753999999999,87.810089,18.536282999999997,8.704885,10.065387,19.474838000000002,34.996959999999994,17.660404,18.630518,33.140953,31.643751,21.824135000000002,6.1735489999999995,17.481928,43.073437,58.61805699999999,61.935352,8.04188,10.003689999999999,9.793336,7.071886999999999,23.124643,3.503194,19.73,17.6,43.434357,10.624372,39.947842,32.7103,9.642667,23.096571,74.066109
2007-01-11,22.749365,7.79933,90.537865,18.569925,8.681965,10.139812,19.575499,35.284843,17.788708,19.124622,33.351707,31.295222999999996,22.355871,6.2293330000000005,17.503475,43.881832,59.220397999999996,62.071762,8.040813,10.056958999999999,9.756747,7.030825999999999,23.134016,3.507961,19.719998999999998,16.780001000000002,43.000065,10.974186999999999,40.513824,33.714317,9.805757,23.319433,74.49316400000001
2007-01-12,22.681862,7.809621000000001,91.306709,18.576647,8.720984,10.223256,19.641558,35.841408,18.28536,18.964762,33.752132,31.186306,22.209446,6.299994,17.435244,44.066368,59.755005000000004,61.423759,8.067528999999999,10.068806,9.825855,7.026263,23.598011,3.493661,20.6,16.219998999999998,43.071602,11.122185,40.705044,34.375687,10.091165,23.445131,74.66394
2007-01-16,22.641356,7.804474000000001,93.30574,18.643929999999997,8.716104,10.209728,19.496857000000002,34.469177,18.66614,19.284479,33.578266,31.179040999999998,22.228714,6.352058,17.417285999999997,43.688526,59.905602,61.901244999999996,8.110266000000001,10.068806,9.7974,6.9578240000000005,23.110584,3.5222559999999996,20.73,16.35,42.601535999999996,11.122185,40.735626,33.929462,9.972242999999999,23.525145000000002,74.68293
2007-01-17,22.189075,7.814764,93.827209,18.603567,8.779511,10.275127000000001,19.537748,34.411594,18.517143,19.720446,33.320099,31.186306,22.178623,6.42272,17.453201,45.64801,59.416176,62.99260699999999,8.104928999999998,9.707725,9.817730000000001,7.021704,23.387106,3.507961,20.65,16.950001,41.814713,11.175997,40.934502,33.78603,10.050392,23.062296,75.26179499999999
2007-01-18,21.770538000000002,7.830197,94.883545,18.549734,8.706347000000001,10.360826,19.342722,33.557549,18.624756,19.945704,33.436008,31.41865,21.905051999999998,6.42644,17.363424,45.735874,59.340889000000004,63.811131,8.110266000000001,9.707725,9.838055,6.994325,23.996389,3.512728,20.35,16.809998999999998,41.344643,11.086306,41.347511,33.634632,10.009618,22.856586,75.27127800000001
2007-01-19,22.141819,7.845635000000001,95.933258,18.569925,8.706347000000001,10.374364,19.440235,34.1525,18.484032,20.091028,33.810101,31.621977,21.589095999999998,6.4413160000000005,17.331097,46.992409,59.672188,65.721039,8.158349000000001,9.654451,9.7974,7.14945,24.235413,3.493661,20.309998999999998,16.75,43.378159000000004,11.211879,40.605629,33.451351,10.233868,23.170868,74.654472
2007-01-22,21.986553,7.8559220000000005,95.03733100000001,18.61702,8.706347000000001,10.234532000000002,19.38361,33.106533,18.148782999999998,19.793110000000002,33.609879,31.709096999999996,21.211486999999998,6.50082,17.248499,47.009979,59.099934,63.845245,8.067528999999999,9.642614,9.890903,7.11751,24.441639000000002,3.4793629999999998,20.0,17.139999,43.786907,11.288117,40.735626,33.459324,10.403754,22.970865,74.749359
